leg,appear,pass_quality,pass_rate
"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_fcf_low/assets, bucket(rank(cap), range=""0.1, 1, 0.1""))",3,1,0.3333
"group_rank(fnd6_intc/assets, bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",3,3,1.0
"group_rank(-ts_delta(close, 2), bucket(rank(sales/assets), range=""0.1, 1, 0.1""))",3,3,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), sector)",3,3,1.0
"group_rank(fnd6_tstkc/assets, bucket(rank(sales/assets), range=""0.1, 1, 0.1""))",3,2,0.6667
"group_rank(fnd6_tfvce/assets, bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",3,0,0.0
"group_rank(if_else(rank(ts_regression(rank(returns), rank(vec_avg(anl4_basicdetailrec_ratingvalue)), 120, lag=0, rettype=2))>0.6, -ts_av_diff(vec_avg(anl4_basicdetailrec_ratingvalue), 120), 0), bucket(rank(ts_rank(cap, 250)), range=""0.1, 1, 0.1""))",3,1,0.3333
"group_rank(-fnd6_xintopt/assets, subindustry)",3,0,0.0
"group_rank(fnd6_txdbcl/assets, subindustry)",3,0,0.0
"group_rank(fnd6_dlcch/assets, subindustry)",3,0,0.0
"group_rank(fnd6_lul3/assets, subindustry)",3,0,0.0
"group_rank(ts_av_diff(cash/assets, 50), subindustry)",3,3,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 75), subindustry)",3,3,1.0
"group_rank(ts_av_diff(anl4_fs_detail_estimate_1qf_v4_nd_ptpr_median/assets, 60), subindustry)",3,0,0.0
"group_rank(-ts_rank(close, 10), subindustry)",3,1,0.3333
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cff_mean/assets, industry)",3,0,0.0
"group_rank(-anl4_fs_detail_estimate_1qf_v4_nd_rd_exp_median/assets, industry)",3,0,0.0
"group_rank(ts_mean(scl12_sentiment_fast_d1, 5), industry)",3,0,0.0
"group_rank(news_mins_4_pct_up - news_mins_4_pct_dn, industry)",3,0,0.0
"group_rank((anl4_fs_detail_estimate_1qf_v4_nd_sga_high - anl4_fs_detail_estimate_1qf_v4_nd_sga_low) / abs(anl4_fs_detail_estimate_1qf_v4_nd_sga_mean), subindustry)",3,2,0.6667
"0.3*group_rank(-ts_delta(close, 10), subindustry)",3,1,0.3333
"0.3*rank(volume/ts_mean(volume, 120))",3,1,0.3333
"0.4*group_rank(ts_av_diff(cash/assets, 45), subindustry)",3,2,0.6667
"0.4*group_rank(-ts_delta(close, 10), subindustry)",3,2,0.6667
"0.4*rank(volume/ts_mean(volume, 120))",3,2,0.6667
rank(implied_volatility_mean_skew_30-implied_volatility_mean_skew_270),3,0,0.0
"0.45*group_rank(-ts_delta(close, 10), subindustry)",3,0,0.0
"0.45*rank(volume/ts_mean(volume, 120))",3,0,0.0
"group_rank(-ts_delta(close, 250), subindustry)",3,0,0.0
"group_rank(close/ts_mean(close, 250), subindustry)",3,0,0.0
"group_rank(ts_delta(fnd6_sale/assets, 66), subindustry)",3,0,0.0
"group_rank(ts_delta(est_netprofit, 66), subindustry)",3,0,0.0
"group_rank(-news_pct_120min, subindustry)",3,0,0.0
"rank(-ts_delta(vwap, 3))",2,2,1.0
"group_rank(-ts_delta(capex/assets, 60), subindustry)",2,0,0.0
"volume > adv20 ? 2 * rank(-ts_delta(close, 2)) : rank(-ts_delta(close, 2))",2,0,0.0
"group_rank(ts_av_diff(ebit/enterprise_value, 30), subindustry)",2,0,0.0
"group_rank(-ts_delta(close, 2) * rank(volume / ts_mean(volume, 20)), subindustry)",2,0,0.0
rank(cashflow_op / enterprise_value),2,0,0.0
"group_rank(cashflow_op / enterprise_value, subindustry)",2,0,0.0
"group_zscore(-ts_delta(close, 2), subindustry)",2,0,0.0
"group_rank(ts_av_diff(ebit/enterprise_value, 60), subindustry)",2,0,0.0
"group_rank(liabilities_curr/assets, subindustry)",2,2,1.0
"ts_regression(group_rank(fnd6_xrent/assets, subindustry) + group_rank(-ts_delta(close, 5), subindustry) + rank(volume/ts_mean(volume, 60)), group_rank(-ts_delta(close, 2), subindustry) + group_rank(fnd6_xopr/assets, subindustry) + rank(volume/ts_mean(volume, 60)), 250, lag=0, rettype=0)",2,0,0.0
"rank(-ts_delta(close, 3))",2,1,0.5
"group_rank(-ts_delta(debt_st/assets, 60), subindustry)",2,0,0.0
"rank(-ts_mean(open/ts_delay(close, 1) - 1, 5))",2,0,0.0
"group_rank(news_prev_day_ret, subindustry)",2,1,0.5
"group_rank(rel_ret_cust, subindustry)",2,0,0.0
"group_rank(-abs(ts_delta(volume/sharesout,1) - group_mean(ts_delta(volume/sharesout,1),1,market)), subindustry)",2,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_cff_mean/assets, subindustry)",2,1,0.5
"group_rank(fnd6_newq_xoptdqp/assets, subindustry)",2,0,0.0
"group_rank(-fnd6_pncdq/assets, subindustry)",2,0,0.0
"0.5*(group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(-ts_delta(close, 2), bucket(rank(cap), range=""0.1, 1, 0.1"")) + group_rank(volume/ts_mean(volume, 60), bucket(rank(cap), range=""0.1, 1, 0.1"")))",2,0,0.0
"group_rank(anl4_fs_detail_estimate_1qf_v4_nd_totgw_mean/assets, bucket(rank(cap), range=""0.1, 1, 0.1""))",2,0,0.0
"group_rank(ts_av_diff(cash/assets, 45), bucket(rank(cap), range=""0.05, 1, 0.05""))",2,2,1.0
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 45), bucket(rank(cap), range=""0.05, 1, 0.05""))",2,2,1.0
"group_rank(-ts_delta(close, 2), bucket(rank(cap), range=""0.05, 1, 0.05""))",2,2,1.0
"group_rank(volume/ts_mean(volume, 60), bucket(rank(cap), range=""0.05, 1, 0.05""))",2,2,1.0
"group_rank(ts_av_diff(cash/assets, 75), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",2,1,0.5
"group_rank(ts_av_diff(cashflow_op/enterprise_value, 60), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",2,1,0.5
"group_rank(-ts_delta(close, 5), bucket(rank(ts_std_dev(returns, 20)), range=""0.1, 1, 0.1""))",2,1,0.5
